"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","Measurement","delay","latency"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","51"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","299"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","800"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","54"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","151"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","301"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","805"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","51"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","300"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","800"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","51"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","151"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","302"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","804"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","54"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","151"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","301"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","803"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","55"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","152"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","300"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","804"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","52"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","301"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","801"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","54"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","151"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","302"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","804"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","52"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","151"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","300"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","802"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","55"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","300"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","804"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","50"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","301"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","804"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","55"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","300"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","804"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","55"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","301"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","802"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","50"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","152"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","300"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","801"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","50"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","151"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","304"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","802"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","54"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","302"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","801"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","50"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","154"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","301"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","804"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","51"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","151"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","301"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","802"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","50"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","151"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","301"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","803"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","53"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","300"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","800"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","53"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","151"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","303"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","800"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","53"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","151"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","303"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","805"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","53"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","151"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","303"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","803"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","53"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","151"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","301"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","804"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","53"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","151"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","303"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","801"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","51"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","301"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","803"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","54"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","300"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","801"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","51"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","300"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","803"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","50"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","300"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","800"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","53"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","151"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","300"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","800"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","50"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","300"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","801"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","51"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","152"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","301"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","803"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","52"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","152"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","300"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","804"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","50"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","302"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","801"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","52"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","301"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","805"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","53"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","301"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","805"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","52"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","151"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","300"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","803"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","54"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","151"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","301"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","802"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","51"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","149"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","301"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","804"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","53"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","151"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","304"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","805"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","53"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","151"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","303"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","800"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","52"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","151"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","303"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","803"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","50"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","300"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","802"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","53"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","302"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","801"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","53"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","301"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","800"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","52"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","152"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","301"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","801"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","53"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","152"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","303"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","801"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","54"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","152"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","301"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","801"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","51"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","151"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","302"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","805"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","52"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","151"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","300"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","803"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","54"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","151"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","300"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","804"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","53"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","152"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","302"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","802"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","53"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","151"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","301"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","801"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","55"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","300"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","803"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","51"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","151"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","301"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","803"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","52"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","151"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","301"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","801"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","52"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","302"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","800"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","53"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","301"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","800"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","53"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","151"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","300"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","800"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","54"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","300"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","800"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","50"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","302"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","804"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","53"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","301"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","803"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","54"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","303"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","801"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","51"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","151"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","300"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","802"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","52"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","302"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","803"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","53"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","151"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","301"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","803"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","53"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","301"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","805"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","51"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","151"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","301"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","805"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","53"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","300"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","802"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","55"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","150"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","301"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","803"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","50","53"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","150","151"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","300","302"
"Firefox","52.0","52","Gecko","52.0","Mac OS","10.11","minno","800","802"
