"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","Measurement","delay","latency"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","51"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","151"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","300"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","801"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","51"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","150"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","300"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","801"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","50"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","151"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","301"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","801"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","51"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","150"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","300"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","801"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","50"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","150"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","301"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","800"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","50"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","150"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","300"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","800"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","50"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","150"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","301"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","801"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","51"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","151"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","301"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","800"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","51"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","150"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","301"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","800"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","50"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","150"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","300"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","801"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","50"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","150"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","301"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","800"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","51"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","150"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","301"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","801"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","50"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","150"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","300"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","801"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","51"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","150"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","301"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","801"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","51"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","151"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","301"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","801"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","52"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","151"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","301"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","801"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","51"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","150"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","300"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","800"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","50"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","150"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","301"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","801"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","50"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","151"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","301"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","800"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","51"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","151"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","301"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","800"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","51"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","150"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","300"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","801"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","51"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","150"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","300"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","800"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","51"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","151"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","300"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","800"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","50"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","151"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","300"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","801"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","53"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","151"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","300"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","801"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","50"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","150"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","301"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","800"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","51"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","150"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","301"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","800"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","50"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","151"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","300"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","800"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","50"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","151"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","300"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","801"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","51"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","150"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","300"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","800"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","51"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","151"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","301"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","801"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","50"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","151"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","301"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","800"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","50"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","150"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","301"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","801"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","51"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","150"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","300"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","800"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","50"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","151"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","300"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","801"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","51"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","151"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","300"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","801"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","51"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","151"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","300"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","801"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","50"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","150"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","300"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","801"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","51"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","151"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","301"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","800"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","50"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","151"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","302"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","801"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","50"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","150"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","301"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","800"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","51"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","151"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","300"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","800"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","51"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","151"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","300"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","801"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","51"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","151"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","301"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","801"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","50"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","150"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","300"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","801"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","51"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","151"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","300"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","800"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","50"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","150"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","300"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","801"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","51"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","150"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","300"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","801"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","51"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","150"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","301"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","801"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","50"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","151"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","301"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","800"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","51"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","150"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","301"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","799"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","51"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","150"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","300"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","801"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","51"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","150"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","301"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","800"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","50"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","150"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","301"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","800"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","50"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","151"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","300"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","801"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","51"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","150"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","300"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","801"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","50"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","151"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","301"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","801"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","50"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","150"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","300"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","800"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","51"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","151"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","301"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","801"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","51"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","151"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","300"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","801"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","50"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","151"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","300"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","800"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","50"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","150"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","301"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","801"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","50"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","150"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","300"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","801"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","51"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","150"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","301"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","801"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","50"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","151"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","300","301"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","800","800"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","50","50"
"Safari","10.1","10","WebKit","603.1.30","Mac OS","10.11.6","minno","150","150"
