"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","Measurement","delay","latency"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","50"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","152"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","303"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","802"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","50"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","150"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","302"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","800"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","51"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","151"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","300"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","805"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","50"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","152"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","302"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","800"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","52"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","155"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","300"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","801"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","50"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","154"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","301"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","799"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","50"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","153"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","300"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","804"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","53"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","151"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","300"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","803"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","51"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","153"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","302"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","802"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","54"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","155"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","302"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","803"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","53"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","152"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","305"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","801"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","51"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","151"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","300"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","803"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","51"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","150"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","303"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","803"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","54"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","150"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","303"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","802"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","51"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","150"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","303"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","801"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","53"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","154"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","300"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","801"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","54"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","152"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","302"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","800"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","51"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","152"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","303"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","802"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","52"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","150"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","303"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","803"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","50"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","152"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","301"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","802"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","53"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","153"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","303"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","801"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","53"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","151"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","302"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","802"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","53"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","150"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","300"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","803"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","52"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","152"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","301"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","803"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","53"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","152"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","301"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","800"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","53"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","153"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","302"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","805"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","54"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","154"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","300"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","804"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","54"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","150"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","305"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","800"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","55"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","150"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","303"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","804"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","55"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","151"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","303"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","802"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","51"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","151"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","303"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","802"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","50"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","152"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","305"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","800"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","50"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","155"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","300"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","800"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","53"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","154"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","301"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","803"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","54"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","150"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","300"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","802"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","53"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","154"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","300"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","800"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","51"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","152"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","302"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","803"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","50"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","153"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","300"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","803"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","54"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","150"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","300"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","800"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","52"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","152"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","302"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","803"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","54"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","152"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","301"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","801"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","51"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","151"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","301"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","801"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","50"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","153"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","302"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","800"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","51"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","151"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","302"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","800"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","53"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","155"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","304"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","803"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","51"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","152"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","300"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","801"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","51"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","150"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","301"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","803"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","50"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","152"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","304"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","803"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","53"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","150"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","304"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","801"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","53"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","151"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","303"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","803"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","51"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","150"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","303"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","801"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","50"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","151"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","300"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","800"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","50"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","150"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","305"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","802"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","51"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","151"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","301"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","805"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","52"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","152"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","301"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","801"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","51"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","154"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","303"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","802"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","50"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","153"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","304"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","804"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","53"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","151"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","300","301"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","800","801"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","50","51"
"Chrome","58.0.3029.96","58","WebKit","537.36","Mac OS","10.11.6","minno","150","153"
