"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","Measurement","delay","latency"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","51"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","154"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","301"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","810"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","152"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","814"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","158"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","304"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","814"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","155"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","304"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","811"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","157"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","304"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","813"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","158"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","805"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","150"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","304"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","814"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","158"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","311"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","806"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","158"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","304"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","812"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","155"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","315"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","814"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","158"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","304"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","814"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","155"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","304"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","814"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","157"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","814"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","156"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","814"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","158"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","304"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","814"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","155"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","304"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","814"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","158"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","304"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","814"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","156"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","813"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","158"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","304"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","812"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","158"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","304"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","813"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","156"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","304"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","814"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","158"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","813"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","157"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","814"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","156"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","813"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","157"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","813"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","157"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","314"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","803"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","160"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","304"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","800"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","154"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","302"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","814"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","157"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","800"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","154"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","813"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","157"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","811"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","157"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","812"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","157"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","813"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","157"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","812"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","157"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","812"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","157"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","812"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","156"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","302"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","813"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","157"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","302"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","813"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","156"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","813"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","154"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","301"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","813"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","157"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","812"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","157"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","302"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","812"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","151"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","813"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","157"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","813"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","157"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","814"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","156"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","813"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","157"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","813"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","157"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","302"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","813"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","157"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","813"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","157"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","814"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","155"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","813"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","157"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","813"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","157"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","302"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","813"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","157"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","813"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","157"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","814"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","157"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","813"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","157"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","302"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","813"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","155"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","813"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","154"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","302"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","807"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","156"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","813"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","157"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","813"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","51"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","156"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","813"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","51"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","156"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","813"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","156"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","302"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","813"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","51"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","156"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","813"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","156"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","812"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","155"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","812"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","156"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","813"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","156"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","812"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","156"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","813"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","155"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","813"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","156"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","813"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","156"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","813"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","155"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","304"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","811"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","155"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","302"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","811"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","153"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","813"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","157"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","304"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","813"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","157"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","304"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","814"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","157"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","303"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","800","813"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","50","50"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","150","157"
"Chrome","57.0.2987.133","57","WebKit","537.36","Windows","7","minno","300","302"
