"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","Measurement","latency"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","100"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","100"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","100"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","100"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","100"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","100"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","100"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","100"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","100"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","100"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","100"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","100"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","100"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","100"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","100"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","105"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","100"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","100"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","100"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","100"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","95"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","100"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","100"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","100"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","100"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","100"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","100"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","100"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","100"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","100"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","100"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","100"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","100"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","100"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","100"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","100"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","99"
"Edge","14.14393","14","EdgeHTML","14.14393","Windows","10","minno","100"
